Date,CPI,Unemp
1960-01-01,29.397,5.133333
1960-04-01,29.573,5.233333
1960-07-01,29.59,5.533333
1960-10-01,29.78,6.266667
1961-01-01,29.84,6.8
1961-04-01,29.83,7
1961-07-01,29.947,6.766667
1961-10-01,29.99,6.2
1962-01-01,30.107,5.633333
1962-04-01,30.22,5.533333
1962-07-01,30.307,5.566667
1962-10-01,30.38,5.533333
1963-01-01,30.477,5.766667
1963-04-01,30.533,5.733333
1963-07-01,30.72,5.5
1963-10-01,30.803,5.566667
1964-01-01,30.93,5.466667
1964-04-01,30.98,5.2
1964-07-01,31.05,5
1964-10-01,31.193,4.966667
1965-01-01,31.29,4.9
1965-04-01,31.49,4.666667
1965-07-01,31.583,4.366667
1965-10-01,31.75,4.1
1966-01-01,32.047,3.866667
1966-04-01,32.337,3.833333
1966-07-01,32.617,3.766667
1966-10-01,32.883,3.7
1967-01-01,32.967,3.833333
1967-04-01,33.167,3.833333
1967-07-01,33.5,3.8
1967-10-01,33.867,3.9
1968-01-01,34.2,3.733333
1968-04-01,34.533,3.566667
1968-07-01,35,3.533333
1968-10-01,35.433,3.4
1969-01-01,35.867,3.4
1969-04-01,36.433,3.433333
1969-07-01,36.933,3.566667
1969-10-01,37.5,3.566667
1970-01-01,38.1,4.166667
1970-04-01,38.633,4.766667
1970-07-01,39.033,5.166667
1970-10-01,39.6,5.833333
1971-01-01,39.933,5.933333
1971-04-01,40.3,5.9
1971-07-01,40.7,6.033333
1971-10-01,41,5.933333
1972-01-01,41.333,5.766667
1972-04-01,41.6,5.7
1972-07-01,41.933,5.566667
1972-10-01,42.367,5.366667
1973-01-01,43.033,4.933333
1973-04-01,43.933,4.933333
1973-07-01,44.8,4.8
1973-10-01,45.933,4.766667
1974-01-01,47.3,5.133333
1974-04-01,48.567,5.2
1974-07-01,49.933,5.633333
1974-10-01,51.467,6.6
1975-01-01,52.567,8.266667
1975-04-01,53.2,8.866667
1975-07-01,54.267,8.466667
1975-10-01,55.267,8.3
1976-01-01,55.9,7.733333
1976-04-01,56.4,7.566667
1976-07-01,57.3,7.733333
1976-10-01,58.133,7.766667
1977-01-01,59.2,7.5
1977-04-01,60.233,7.133333
1977-07-01,61.067,6.9
1977-10-01,61.967,6.666667
1978-01-01,63.033,6.333333
1978-04-01,64.467,6
1978-07-01,65.967,6.033333
1978-10-01,67.5,5.9
1979-01-01,69.2,5.866667
1979-04-01,71.4,5.7
1979-07-01,73.7,5.866667
1979-10-01,76.033,5.966667
1980-01-01,79.033,6.3
1980-04-01,81.7,7.333333
1980-07-01,83.233,7.666667
1980-10-01,85.567,7.4
1981-01-01,87.933,7.433333
1981-04-01,89.767,7.4
1981-07-01,92.267,7.4
1981-10-01,93.767,8.233333
1982-01-01,94.6,8.833333
1982-04-01,95.967,9.433333
1982-07-01,97.633,9.9
1982-10-01,97.933,10.666667
1983-01-01,98,10.366667
1983-04-01,99.133,10.133333
1983-07-01,100.1,9.366667
1983-10-01,101.1,8.533333
1984-01-01,102.533,7.866667
1984-04-01,103.5,7.433333
1984-07-01,104.4,7.433333
1984-10-01,105.3,7.3
1985-01-01,106.267,7.233333
1985-04-01,107.233,7.3
1985-07-01,107.9,7.2
1985-10-01,109,7.033333
1986-01-01,109.567,7.033333
1986-04-01,109.033,7.166667
1986-07-01,109.7,6.966667
1986-10-01,110.467,6.833333
1987-01-01,111.8,6.6
1987-04-01,113.067,6.266667
1987-07-01,114.267,6
1987-10-01,115.333,5.833333
1988-01-01,116.233,5.7
1988-04-01,117.567,5.466667
1988-07-01,119,5.466667
1988-10-01,120.3,5.333333
1989-01-01,121.667,5.2
1989-04-01,123.633,5.233333
1989-07-01,124.6,5.233333
1989-10-01,125.867,5.366667
1990-01-01,128.033,5.3
1990-04-01,129.3,5.333333
1990-07-01,131.533,5.7
1990-10-01,133.767,6.133333
1991-01-01,134.767,6.6
1991-04-01,135.567,6.833333
1991-07-01,136.6,6.866667
1991-10-01,137.733,7.1
1992-01-01,138.667,7.366667
1992-04-01,139.733,7.6
1992-07-01,140.8,7.633333
1992-10-01,142.033,7.366667
1993-01-01,143.067,7.133333
1993-04-01,144.1,7.066667
1993-07-01,144.767,6.8
1993-10-01,145.967,6.633333
1994-01-01,146.7,6.566667
1994-04-01,147.533,6.2
1994-07-01,148.9,6
1994-10-01,149.767,5.633333
1995-01-01,150.867,5.466667
1995-04-01,152.1,5.666667
1995-07-01,152.867,5.666667
1995-10-01,153.7,5.566667
1996-01-01,155.067,5.533333
1996-04-01,156.4,5.5
1996-07-01,157.3,5.266667
1996-10-01,158.667,5.333333
1997-01-01,159.633,5.233333
1997-04-01,160,5
1997-07-01,160.8,4.866667
1997-10-01,161.667,4.666667
1998-01-01,162,4.633333
1998-04-01,162.533,4.4
1998-07-01,163.367,4.533333
1998-10-01,164.133,4.433333
1999-01-01,164.733,4.3
1999-04-01,165.967,4.266667
1999-07-01,167.2,4.233333
1999-10-01,168.433,4.066667
